"id","BAC","BAP","CHL","CHR","PYR","UNI","totAlBiov","algalDiversityH","algalRichness","ACHAFFI","ACHAMOE","ACHBIAS","ACHBIOR","ACHCALC","ACHCLEV","ACHCLEVR","ACHDELI","ACHDETH","ACHEXIG","ACHFLEX","ACHFLEXA","ACHHAUC","ACHLANC","ACHLANCD","ACHLEMM","ACHLEVA","ACHLINE","ACHMARG","ACHMICR","ACHMINU","ACHOEST","ACHSP","ACHSUCH","ACTHANT","ACYNORM","AKYJUDA","AKYLANC","AKYSP","AMACOFF","AMAINAR","AMAOVAL","AMAOVALA","AMAOVALP","AMAPERP","AMASP","AMATHUM","AMPSPP","ANKFALC","ANKFALCF","ANKFALCM","ANKGRAC","ANKSPI","ANKSPIR","ANKSTIP","ANOSERIB","ANOSP","ANOVITR","APLPELL","BITCHOD","BITLONG","BITOHRI","BITOLLU","BITSP","BOTBRAU","BOTSPC","CALBACI","CALSP","CALVENTM","CARCORD","CARSP","CERHIRU","CHLGLOB","CHLSP","CHMSP","CHMSPM","CHRSP","CHYSP","CLOACICC","CLOACUTV","CLOLONG","CLOSPD","COCDIMI","COCOVAL","COCPEDI","COCPLAC","COCPLACE","COCPLACL","COCSPB","COCSPHE","COCTHUM","COEASTR","COEMICR","COESPHA","COESPT","COSDEPR","COSPHAS","COSREGN","COSSPD","CRLSP","CRUQUAD","CRURECT","CRUSP","CRUTETR","CSLLONG","CYCATOM","CYCATOMF","CYCCATE","CYCCOME1","CYCCOMES","CYCCOMRC","CYCCOMT","CYCDELI","CYCMENE","CYCMICH","CYCOCEL","CYCOPER","CYCOPERU","CYCPSEU","CYCROSSI","CYCSP","CYCSTEL","CYCTRIP","CYKPLAN","CYKSKUJ","CYKSP","CYMAFFI","CYMAMPH","CYMCESA","CYMCIST","CYMCUSP","CYMCYMB","CYMDELI","CYMELLI","CYMLUNA","CYMMICR","CYMMINU","CYMMINUS","CYMNAVI","CYMPROAU","CYMPROS","CYMPUSI","CYMSINU","CYMSOLE","CYMSP","CYMTRIA","CYMTUMIA","CYMTUMIU","CYSCOST","CYSDUBI","CYSINVI","CYSSP","CYSTHOL","DENSP","DENSUBT","DENTENU","DESMONI","DESSP","DIAVULG","DICEHRE","DICPULC","DICSP","DINACUM","DINBALT","DINBAVA","DINBAVAM","DINBAVAV","DINBORG","DINCREN","DINCYLI","DINCYLIA","DINDIVE","DINSERT","DINSERTP","DINSOCI","DINSOCIA","DINSOCIS","DINSP","DIPBOLD","DIPDECU","DIPELLI","DIPLUNA","DIPOBLO","DIPOCUL","DIPOVAL","DIPPARM","DIPPSEU","DIPPUEL","DIPSPE","ELAGENE","ELASP","ENTSP","EPISP","EPISPX","EUDELEG","EUDSP","EUGSP","EUNCURV","EUNINCI","EUNPECT","EUNPRAE","EUNSP","EUTSPC","FRABREV","FRACONS","FRACONSB","FRACONSV","FRADROE","FRALEPT","FRALEPTD","FRAOVAL","FRAPINN","FRASPB","FRASPC","FRUSP","FRUVULG","GLESP","GLOLIMN","GLOPLAN","GLOSPC","GLOSPT","GOLRADI","GOLSPK","GOMACUM","GOMANGU","GOMGRAC","GOMOLIV","GOMPARV","GOMSP","GOMSUBT","GONPECT","GYMEXCA","GYMHELV","GYMSP","GYRACUM","GYRNODI","GYRSCAL","GYRSPEN","HANAMPH","HANARCU","HAPSP","KEPBORE","KEPCUPU","KEPCYLI","KEPDOLI","KEPLITT","KEPOVAL","KEPSP","KIRLUNA","KIRSP","KIRSUBS","LAGCILI","LAGLONG","LAGSPL","LAGSUBS","MALSP","MERCIRC","MERCIRCC","MITPUSI","MONARCU","MONBRAU","MONCIRC","MONCONT","MONCONV","MONDYBO","MONGRIF","MONIRRE","MONMINU","MONOVAT","MONPUSI","MONSETI","MONSKUJ","MONSPH","MONSPO","NAVATOM","NAVBACI","NAVCAPI","NAVCAPIH","NAVCAPIL","NAVCINC","NAVCLEM","NAVCOCC","NAVCOST","NAVCRYP","NAVCRYPV","NAVDECU","NAVDETE","NAVGAST","NAVGREG","NAVHELE","NAVINTE","NAVJAER","NAVLANC","NAVMENI","NAVMENIU","NAVMINI","NAVMINU","NAVMUTI","NAVPLAC","NAVPLAT","NAVPROT","NAVPSEUL","NAVPSEUS","NAVPUPU","NAVPUPUC","NAVPUPUM","NAVRADI","NAVRADIT","NAVREIN","NAVRHYN","NAVSALI","NAVSALII","NAVSCHO","NAVSCUT","NAVSP","NAVSTRO","NAVSUBH","NAVSUBR","NAVSUBT","NAVTRIP","NAVTRIV","NAVTUSC","NAVVIRI","NCTAGAR","NCTECDY","NCTLIMN","NEIAFFI","NEISP","NITACUL","NITACUM","NITAMPH","NITANGA","NITANGU","NITCLAU","NITDENT","NITDISS","NITFONT","NITFRUS","NITINCO","NITLACU","NITPALEA","NITPALEC","NITPERM","NITROMA","NITSINUT","NITSP","NITTROP","NITVERM","OCHCOLO","OCHSPOV","OOCBORG","OOCGIVIN","OOCLACU","OOCPARV","OOCPUSI","OOCSOLI","OOCSP","OOCSUBM","PANSP","PEDBORY","PEDDUPL","PEDDUPLC","PEDDUPLG","PEDSIMP","PEDSP","PEDTETR","PERSP","PHASPC","PHASPE","PINSP","PLKLAUT","PLKSP","PSEALAS","PSEATTE","PSECONI","PSECYLI","PSEELLI","PSEMILL","PSEMINU","PSESP","QUACHOD","QUACLOS","RHISPC","RHOCURV","RHOSPB","SCEACUT","SCEBALA","SCEBICA","SCEBIJU","SCEECOR","SCEINTE","SCEOPOL","SCEQUAD","SCESP","SCHINDI","SCHSETI","SLCELLI","SPISP","SPYSCHR","STASPD","STCSP","STEALP1","STEALP23","STEALPI","STEBIND","STECONSP","STEHANTH","STEHANTT","STEMINUT","STENIAG","STEPARV","STEPHCOS","STEPSBTR","STESP10","STESP16","STESP51","STESPB","STISP","STUASP","STUSMIT","SURANGU","SURBIRO","SUROVAL","SUROVAT","SUROVATP","SUROVATS","SURSP","SURTURG","SYNSPR","TETCAUD","TETMINI","TETMIVTE","TETMUTI","THABALT","THASP","THAWEIS","TRASP","TREQUAD","TRESCHM","TRESETIA","TRESETIU","TRESP","UNCFLAG","UNCOVO","UNICGR","UNICLFLA","UNICOCCS","UNIFILA","UNIFLAG5","UNIFLAGF","UNIFLAGO","UNIPENN","UROLIND","UROSP"
"2001.Spring.ER15",72082.4702538442,0,330225.536922311,10602.1415279254,0,0,412910.14870408,0.814707018317713,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857.127588343076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330225.536922311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6321.20653824504,0,0,41097.0334691807,0,1735.83046902598,10266.5746174323,0,0,4160.18381845057,0,0,0,0,8501.64134150963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9745.01393958236,0,0,0,0,0,0,0,0,0,0
"2001.Spring.ER78",18610.2013858634,0,42.8601793721973,1077.35506680641,0,36.5714798684604,19766.9881119105,1.58146759428035,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.107043156167,0,151.772602344281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6494497458894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3051.26169296314,0,1417.82142688931,8129.17729685304,0,0,5139.08139617346,61.2087038260885,0,0,0,292.771223657949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8601793721973,0,0,0,0,0,0,0,0,0,0,0,1006.70561706053,0,0,36.5714798684604,0,0,0,0,0,0,0
"2001.Spring.ER91",198543.180157411,98858.4382529692,21006.4363911111,51423.7982551453,0,0,369831.853056637,2.7218750889779,29,0,0,0,0,0,0,0,0,0,0,0,0,0,440.893578041603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8649.70910222222,0,8757.830466,0,0,0,0,0,0,0,0,0,0,0,4176.13855732116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882.488137098925,0,1612.29666570323,12429.9018747336,0,0,0,0,3273.36863673543,10078.8048327961,0,0,232.517163772903,0,0,949.429539845884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.905384271943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922.729784064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54440.5218821984,0,0,0,0,0,0,0,0,0,0,0,1812.68601869972,0,0,0,29155.485832904,0,0,0,0,0,0,0,0,0,0,0,0,0,6354.88832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12356.7272888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22041.3834808602,5959.9900932246,0,0,0,23699.7340905506,31100.4479666785,0,0,66802.0100286499,0,0,1199.22892490323,0,18281.5787218581,0,0,0,0,0,0,0,8211.80699953242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8543.79429688889,26844.5553881925,0,0,0,0,0,0,0,0,0,0
"2001.Spring.HU15",1448.33487747107,17775.469051351,217.972669376,3190.78891708093,34030.4269536,0,56662.992468879,1.167435689175,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.381061888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.429556992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.22165683168,0,0,924.662122959534,0,0,0,114.982807306752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16123.9131546843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.6316368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.56782745034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34030.4269536,0,0,0,0,0,0,116.929436696934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.48421824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.872935959184,0,0,0,0,0,0,0,0,0,0,0,0,0,177.93687296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.214778496,0,0,0,0,0,0,0,0,0,120.107389248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.468290373108,0,0,0,0,0,0,0,1171.11513325714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841.646635136,0,0,0,0,0,0,0,0,0,0
"2001.Spring.HU45",12523.6191198201,6014.29956166357,0,5972.08863176682,0,0,24510.0073132505,2.35249812647532,24,0,0,0,0,0,15.3671524547804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133.78255334212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.541420792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.254555289078,71.4924936,3196.70606934268,0,0,327.126916100635,985.56691977216,0,0,7.984281685248,0,0,0,24.62201479584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4807.08876501879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.501149824,0,333.6316368,0,0,480.429556992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5699685812093,0,0,0,0,0,0,0,0,0,0,0,90.7478052096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4911222666667,0,0,0,0,0,0,0,0,0,0,0,0,0,711.74749184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5298.070392384,0,0,0,0,0,0,0,0,0,0,2289.36694645613,0,0,0,89.428530394368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762.904342816,2426.58522749322,0,0,0,0,0,0,0,0,0,0
"2001.Spring.HU54",5705.95547025765,358.277650747778,0,4123.9464743459,0,0,10188.1795953513,2.07879776434142,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575.31830152386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62098744922748,0,0,64.7522358946035,121.574058692061,791.085439260708,0,0,20.2691310002871,598.519627359436,0,0,19.1462426006926,0,54.229729867043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.477250980569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.277650747778,0,0,0,0,0,0,0,0,0,0,0,0,0,387.686164940239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946.68435246351,0,0,0,0,0,0,0,0,0,0,2088.07366567008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917.46475690123,0,0,0,0,0,0,0,0,0,0
"2001.Spring.MI18",18696.6348895489,0,3403.04269536,2600.60567263629,5999.40294254009,0,30699.6862000853,1.77592501100478,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.17898208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.74749184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.256310628973,0,0,0,0,22.1513823546233,19.0343160744285,0,0,0.566452416858811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5999.40294254009,0,0,0,0,0,0,103.795471261574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.286371328,0,0,0,0,0,0,3202.86371328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9002.14128570246,0,0,0,0,0,0,0,7836.93024972112,5.43265018101211,0,1799.12224246941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464.77633820672,0,0,0,0,0,0,0,0,0,0
"2001.Spring.MI27",103188.824221809,198.305236386989,0,7406.53561752232,7025.46940677912,0,117819.134482498,1.47569778383359,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893.25739437751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196.93293614723,0,0,159.423100184966,123.073082498425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7025.46940677912,0,0,0,0,0,0,218.84806162249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.305236386989,0,0,0,0,0,0,0,0,482.358992963855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31328.1059655469,0,0,683.51898415583,0,0,0,0,53628.9696638088,0,0,16028.9580616344,0,0,39.8424278329176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5812.07116855847,0,0,0,0,0,0,0,0,0,0
"2001.Spring.MI41",15001.0100922548,0,0,1451.69606904078,0,0,16452.7061612956,1.36291883808956,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.549025724551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413653713750413,0,0,83.6531905317461,0,179.443670447786,0,0,56.2982704414313,31.9443620828519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.144680651561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.558846467066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4795.29780577712,0,0,0,0,0,0,0,8202.9185389716,0,0,1651.04060028851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.443516197605,0,0,0,0,0,0,0,0,0,0
"2001.Spring.ON33",61507.2588559381,0,0,4487.94360550941,0,0,65995.2024614475,0.888251974095131,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.280727466667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23823.437985343,37622.2415883251,0,0,0,37.1546834613565,0,14.9685249885217,0,9.45607382016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4339.66287804274,0,0,0,0,0,0,0,0,0,0
